city,state_id,county_name,lat,lng,population
New York,NY,Queens,40.6943,-73.9249,18832416
Los Angeles,CA,Los Angeles,34.1141,-118.4068,11885717
Chicago,IL,Cook,41.8375,-87.6866,8489066
Miami,FL,Miami-Dade,25.7840,-80.2101,6113982
Houston,TX,Harris,29.7860,-95.3885,6046392
Dallas,TX,Dallas,32.7935,-96.7667,5843632
Philadelphia,PA,Philadelphia,40.0077,-75.1339,5696588
Atlanta,GA,Fulton,33.7628,-84.4220,5211164
Washington,DC,District of Columbia,38.9047,-77.0163,5146120
Boston,MA,Suffolk,42.3188,-71.0852,4355184
Phoenix,AZ,Maricopa,33.5722,-112.0892,4065338
Detroit,MI,Wayne,42.3834,-83.1024,3716929
Seattle,WA,King,47.6211,-122.3244,3555253
San Francisco,CA,San Francisco,37.7558,-122.4449,3364862
San Diego,CA,San Diego,32.8313,-117.1222,3057778
Minneapolis,MN,Hennepin,44.9635,-93.2678,2906807
Tampa,FL,Hillsborough,27.9945,-82.4447,2906035
Brooklyn,NY,Kings,40.6501,-73.9496,2736074
Denver,CO,Denver,39.7620,-104.8758,2691349
Queens,NY,Queens,40.7498,-73.7976,2405464
Riverside,CA,Riverside,33.9381,-117.3949,2288508
Las Vegas,NV,Clark,36.2333,-115.2654,2256509
Baltimore,MD,Baltimore,39.3051,-76.6144,2189589
St. Louis,MO,St. Louis,38.6359,-90.2451,2127843
Portland,OR,Multnomah,45.5371,-122.6500,2084045
San Antonio,TX,Bexar,29.4632,-98.5238,2069843
Sacramento,CA,Sacramento,38.5677,-121.4685,1962998
Austin,TX,Travis,30.3005,-97.7522,1915031
Orlando,FL,Orange,28.4773,-81.3370,1913597
San Juan,PR,San Juan,18.3985,-66.0610,1809800
San Jose,CA,Santa Clara,37.3012,-121.8480,1771563
Indianapolis,IN,Marion,39.7771,-86.1458,1740984
Pittsburgh,PA,Allegheny,40.4397,-79.9763,1712828
Cincinnati,OH,Hamilton,39.1413,-84.5060,1704916
Manhattan,NY,New York,40.7834,-73.9662,1694263
Kansas City,MO,Jackson,39.1238,-94.5541,1686807
Cleveland,OH,Cuyahoga,41.4764,-81.6805,1679247
Columbus,OH,Franklin,39.9862,-82.9855,1578153
Bronx,NY,Bronx,40.8501,-73.8662,1472654
Charlotte,NC,Mecklenburg,35.2083,-80.8303,1436613
Virginia Beach,VA,Virginia Beach,36.7335,-76.0435,1431821
Jacksonville,FL,Duval,30.3322,-81.6749,1303156
Milwaukee,WI,Milwaukee,43.0642,-87.9675,1290221
Providence,RI,Providence,41.8230,-71.4187,1270529
Nashville,TN,Davidson,36.1715,-86.7842,1178679
Salt Lake City,UT,Salt Lake,40.7776,-111.9311,1169033
Raleigh,NC,Wake,35.8324,-78.6429,1150010
Richmond,VA,Richmond,37.5295,-77.4756,1081248
Memphis,TN,Shelby,35.1087,-89.9663,1033394
Oklahoma City,OK,Oklahoma,35.4676,-97.5136,1000207
Hartford,CT,Capitol,41.7661,-72.6834,969171
Louisville,KY,Jefferson,38.1663,-85.6485,965005
Buffalo,NY,Erie,42.9018,-78.8487,949547
Fort Worth,TX,Tarrant,32.7817,-97.3474,941311
Bridgeport,CT,Greater Bridgeport,41.1918,-73.1954,921660
New Orleans,LA,Orleans,30.0687,-89.9288,918752
Tucson,AZ,Pima,32.1541,-110.8787,879871
El Paso,TX,El Paso,31.8476,-106.4300,862494
Omaha,NE,Douglas,41.2627,-96.0529,826161
McAllen,TX,Hidalgo,26.2252,-98.2467,810034
Birmingham,AL,Jefferson,33.5279,-86.7971,778756
Albuquerque,NM,Bernalillo,35.1054,-106.6465,767499
Tulsa,OK,Tulsa,36.1283,-95.9042,740620
Charleston,SC,Charleston,32.8168,-79.9687,726389
Fresno,CA,Fresno,36.7830,-119.7939,724547
Rochester,NY,Monroe,43.1680,-77.6162,694707
Dayton,OH,Montgomery,39.7805,-84.2003,667936
Cape Coral,FL,Lee,26.6443,-81.9957,656464
Provo,UT,Utah,40.2457,-111.6457,639820
Colorado Springs,CO,El Paso,38.8674,-104.7605,638421
Mission Viejo,CA,Orange,33.6096,-117.6551,634674
Allentown,PA,Lehigh,40.5961,-75.4756,632175
Baton Rouge,LA,East Baton Rouge,30.4420,-91.1311,630063
Ogden,UT,Weber,41.2279,-111.9682,623688
Knoxville,TN,Knox,35.9692,-83.9496,618226
Grand Rapids,MI,Kent,42.9619,-85.6562,611480
Columbia,SC,Richland,34.0378,-80.9036,605083
Albany,NY,Albany,42.6664,-73.7987,602242
Bakersfield,CA,Kern,35.3529,-119.0359,578542
New Haven,CT,South Central Connecticut,41.3113,-72.9246,565056
Des Moines,IA,Polk,41.5725,-93.6105,560170
Palm Bay,FL,Brevard,27.9631,-80.6593,547659
Akron,OH,Summit,41.0798,-81.5219,538659
Concord,CA,Contra Costa,37.9722,-122.0016,525233
Mesa,AZ,Maricopa,33.4015,-111.7178,507478
Wichita,KS,Sedgwick,37.6895,-97.3443,501760
Harrisburg,PA,Dauphin,40.2752,-76.8843,499494
Staten Island,NY,Richmond,40.5834,-74.1496,495747
Toledo,OH,Lucas,41.6638,-83.5827,492076
Worcester,MA,Worcester,42.2705,-71.8079,487014
Port St. Lucie,FL,St. Lucie,27.2796,-80.3884,473733
Little Rock,AR,Pulaski,34.7256,-92.3577,467846
Madison,WI,Dane,43.0822,-89.3930,460255
Spokane,WA,Spokane,47.6671,-117.4330,458988
