City,Population,Latitude,Longitude,Bladder,Breast,Colorectal,Leukemia,Lung,Melanoma,Prostate,2015,2016,2017,2018,2019,2020,2021
Barrington,17061,41.7409,-71.3084,8,42,22,10,18,15,35,150,148,145,143,140,137,134
Bristol,22069,41.677,-71.2662,11,55,28,13,24,19,45,195,192,188,185,181,177,173
Burrillville,16393,41.9665,-71.6984,7,38,20,9,17,13,32,136,134,131,129,126,123,121
Central Falls,22543,41.8907,-71.3923,12,58,30,14,26,10,40,190,187,183,180,176,172,168
Charlestown,8036,41.3834,-71.6418,3,14,8,3,6,5,12,51,50,49,48,47,46,45
Coventry,35819,41.7001,-71.6554,16,82,42,19,35,28,65,287,282,276,271,265,259,254
Cranston,82635,41.7798,-71.4373,38,190,97,44,82,65,150,666,654,641,629,616,603,591
Cumberland,36591,41.9668,-71.4283,17,84,43,19,36,29,67,294,288,282,277,271,265,260
East Greenwich,14626,41.6332,-71.4622,7,34,17,8,14,12,27,118,116,114,111,109,107,105
East Providence,46900,41.8137,-71.3701,22,108,55,25,46,37,86,378,371,363,356,349,342,335
Exeter,6581,41.5757,-71.5917,2,11,6,2,5,4,10,35,34,34,33,32,32,31
Foster,4493,41.8427,-71.7594,1,7,4,1,3,2,7,23,23,22,22,22,21,21
Glocester,10200,41.8914,-71.6466,4,17,9,4,8,6,16,58,57,56,55,54,53,52
Hopkinton,8400,41.4676,-71.7894,3,14,7,3,6,5,13,50,49,48,47,46,45,44
Jamestown,5488,41.4965,-71.3677,2,9,5,2,4,3,9,32,32,31,31,30,30,29
Johnston,29679,41.827,-71.5245,14,68,35,16,29,23,54,239,235,230,225,221,216,212
Lincoln,22846,41.9138,-71.4356,11,53,27,12,22,18,42,184,181,177,174,170,167,163
Little Compton,3557,41.5134,-71.1628,1,6,3,1,2,2,6,21,21,20,20,20,19,19
Middletown,16588,41.545,-71.2874,8,38,19,9,16,13,30,134,131,129,126,124,121,119
Narragansett,14409,41.4501,-71.4675,7,33,17,7,14,11,26,116,114,112,109,107,105,103
New Shoreham,1404,41.1686,-71.5581,0,2,1,0,1,1,2,9,9,9,9,8,8,8
Newport,24717,41.4901,-71.3128,12,57,29,13,24,19,45,199,195,191,188,184,180,176
North Kingstown,27771,41.55,-71.4662,13,64,33,15,27,22,51,224,220,215,211,207,203,199
North Providence,33902,41.8482,-71.466,16,78,40,18,33,26,62,273,268,263,258,252,247,242
North Smithfield,12601,41.9929,-71.5492,5,21,11,5,10,8,19,70,68,67,66,65,64,62
Pawtucket,75321,41.8787,-71.3826,35,173,89,40,75,59,137,607,596,584,572,560,549,538
Portsmouth,17447,41.6023,-71.2505,8,40,21,9,17,14,32,141,138,135,133,130,128,125
Providence,190792,41.8236,-71.4222,88,440,225,102,190,150,348,1538,1510,1479,1450,1421,1392,1364
Richmond,8133,41.5059,-71.6673,3,14,7,3,6,5,13,50,49,48,47,46,45,44
Scituate,10494,41.7932,-71.5833,4,18,9,4,8,7,17,60,59,58,57,56,55,54
Smithfield,22090,41.9226,-71.5498,10,51,26,12,21,17,40,178,175,171,168,165,161,158
South Kingstown,32025,41.456,-71.5015,15,74,38,17,32,25,59,258,253,248,243,238,233,228
Tiverton,16035,41.6254,-71.206,7,37,19,8,16,12,29,129,127,124,122,119,117,115
Warren,11125,41.7301,-71.2834,5,26,13,6,11,8,20,90,88,86,85,83,81,79
Warwick,82999,41.7001,-71.4162,38,191,98,44,82,65,152,669,656,643,630,617,605,592
West Greenwich,6683,41.6284,-71.7073,2,11,6,2,5,4,10,36,35,34,34,33,32,32
West Warwick,31151,41.7031,-71.5185,14,72,37,17,31,24,57,251,246,241,236,232,227,222
Westerly,23223,41.3776,-71.8273,11,53,27,12,23,18,43,187,184,180,177,173,170,166
Woonsocket,43135,42.0029,-71.5148,20,99,51,23,43,34,79,348,341,334,328,321,315,309
